date,event,title,challenge,entries,forum replies,forum views,winner,link,archive
21/06/20,1,Libre Music Challenge,only provided sample,8,8,8861,y6nH,https://linuxmusicians.com/viewtopic.php?p=120526,https://archive.org/details/LibreMusicChallenge_1
06/07/20,2,Make a Jingle With Geonkick,only geonkick,0,0,6405,---,https://linuxmusicians.com/viewtopic.php?p=121011,---
03/08/20,3,B.Excellent,optional b.music,7,29,20181,MyLoFy,https://linuxmusicians.com/viewtopic.php?p=122106,https://archive.org/details/libre-music-challenge-3
09/09/20,4,Listen to the muzak,theme: muzak,8,20,15325,"jdfight
MyLoFy",https://linuxmusicians.com/viewtopic.php?p=123120,https://archive.org/details/libre-music-challenge-4
02/10/20,5,Halloween,theme: hallowen,5,18,15080,"nilshi
Pulsing Bulb",https://linuxmusicians.com/viewtopic.php?p=123990,https://archive.org/details/libre-music-challenge-05
01/12/20,6,Lullabies !,theme: lullaby,11,65,37848,a.very,https://linuxmusicians.com/viewtopic.php?p=126252,https://archive.org/details/libre-music-challenge-06
25/01/21,7,Yet Another Kick !,required kickmess,13,46,24424,MyLoFy,https://linuxmusicians.com/viewtopic.php?p=128315,https://archive.org/details/libre-music-challenge-07
24/02/21,8,Back In Time (90's edition) : Smiley and Bass !,required mono synth,13,51,26241,LAM,https://linuxmusicians.com/viewtopic.php?p=129452,https://archive.org/details/libre-music-challenge-08
28/03/21,9,clearly Samples !,only provided sample,6,41,22197,MyLoFy,https://linuxmusicians.com/viewtopic.php?p=130899,https://archive.org/details/libre-music-challenge-09
28/05/21,10,Air Music !,only airwindows,9,81,39300,MyLoFy,https://linuxmusicians.com/viewtopic.php?p=132323,https://archive.org/details/libre-music-challenge-10
04/06/21,11,Happy Birthday Edition !,theme: happy birthday,7,43,23013,merlyn,https://linuxmusicians.com/viewtopic.php?p=133716,https://archive.org/details/libre-music-challenge-11
06/09/21,12,Back In Time #2 (80's edition) : Synths and Waves! !,only wavetable synths,9,64,33411,MyLoFy,https://linuxmusicians.com/viewtopic.php?p=136365,https://archive.org/details/libre-music-challenge-12
06/10/21,13,Looptober,theme: loops,5,38,35293,bsg75,https://linuxmusicians.com/viewtopic.php?p=137279,https://archive.org/details/libre-music-challenge-13
04/11/21,14,Guitarix,optional guitarix,1,3,13375,MyLoFy,https://linuxmusicians.com/viewtopic.php?p=138067,---
06/02/22,15,DIY,only recordings,4,14,6332,---,https://linuxmusicians.com/viewtopic.php?p=141333,https://archive.org/details/libre-music-challenge-15
07/05/22,16,Begin then finish,theme: ABA structure,3,17,4513,LAM,https://linuxmusicians.com/viewtopic.php?p=144776,---
01/04/23,17,Surge XT,only surge xt,4,22,2294,asublin,https://linuxmusicians.com/viewtopic.php?t=25606,https://archive.org/details/libre-music-challenge-17
04/05/23,18,Uhhyou,only uhhyou,3,?,?,?,https://linuxmusicians.com/viewtopic.php?p=156400,https://archive.org/details/libre-music-challenge-18
02/06/23,19,Odin 2,only odin,?,?,?,?,https://linuxmusicians.com/viewtopic.php?p=156444,?
